id,show_number,title,description,provider
2,675,"Potluck: Bun JS, APIs, Rust, Documentation, and More","In this potluck episode, Scott and Wes answer audience questions on web development topics like Bun JS, REST vs GraphQL APIs, learning Rust, documenting code, WordPress APIs, becoming a podcast guest, and using home gym equipment.",anthropic
3,674,Proper Heading Hierarchy for Accessible Websites,"Discussion on proper semantic usage of h1 through h6 headings for accessibility, SEO, and screen reader navigation.",anthropic
4,673,Getting Hired as a Developer in 2023,"Taylor Desseyn discusses strategies for engineers to stand out in the hiring process, including the importance of social proofing through content creation. He also provides insights into current trends like the developer hiring recession and shift towards back end engineers.",anthropic
5,672,Variable Fonts and The State of CSS,"Wes and Scott discuss the State of CSS developer survey results, covering usage of new CSS features like subgrid, aspect ratio, relative colors, variable fonts, accessibility preferences, and more.",anthropic
6,671,Tori vs Electron - The Web Dev Desktop App Smackdown,"Discussion comparing Tori and Electron for building desktop apps using web technologies. Covers differences in bundle sizes, developer experience, maturity and more.",anthropic
7,670,Managing Anxiety and Uncertainty with a Clinical Psychologist,"Dr. Courtney Tolinski discusses anxiety disorders, symptoms, causes and healthy ways to manage anxiety. She answers questions on recognizing triggers, career anxiety in web development, and making big life decisions.",anthropic
8,669,Revisiting Svelte and SvelteKit,"Wes and Scott discuss their experiences building apps with Svelte and SvelteKit. They cover templating, data fetching, state management, actions, layouts, styling and more.",anthropic
9,668,Hacking the Tonal workout device by proxying network requests,Scott proxies requests from his Tonal workout device to reverse engineer the API and build custom community workouts since Tonal has limited functionality.,anthropic
10,667,From Family Business to Coding: How Stuart Learned Web Development and Landed His First Dev Job,"Stuart discusses his journey from working in a family business to becoming a self-taught web developer, including how he prepared for interviews, built projects, and made time for learning while having a family.",anthropic
11,666,Building Fun Stuff During Hack Week at Sentry,"Scott and Wes discuss the projects they built during a hack week at Sentry, including a real-time markdown editor and an automated recording button.",anthropic
12,665,CSS Nesting is Here! Tips for Avoiding Spaghetti Code,"Wes and Scott discuss the new CSS nesting syntax that is now supported across all major browsers. They cover how it works, best practices, use cases compared to Sass, browser support via transpiling, and more.",anthropic
13,664,Astro 3.0 Launch with Fred Schott,"In this episode, Fred Schott discusses the Astro 3.0 release and new features like view transitions, image optimization, open source sustainability, and more.",anthropic
14,663,"Q&A on TypeScript, CMS, web performance, code organization, and more","In this episode Scott and Wes answer developer questions on various web development topics like TypeScript, performance, CMS, and more. They also discuss personal topics like dog DNA tests and how they organize their code.",anthropic
15,662,Closures Demystified - A Podcast Episode Guide,"Scott and Wes explain JavaScript closures, scoping, and give examples of how closures can be useful.",anthropic
16,661,The Trials and Tribulations of Publishing ES Modules,"Mark Erikson explains the complexity of shipping JavaScript packages that work across many environments,tools and module systems, with details on his work updating Redux libraries to add ESM support.",anthropic
17,659,Next Level Open Graph Images,"Scott and Wes discuss techniques for dynamically generating social media preview images known as open graph or OG images using services like Satori, Cloudinary, and Puppeteer.",anthropic
18,660,"Fitness Goals, Home Projects, and Non-Coding Hobbies","Scott and Wes catch up on life outside of coding including concerts, home projects, fitness goals, and more. They also recommend a steam cleaner and a sci-fi kids book.",anthropic
19,658,Supersonic React Performance with Million.js,"Aiden Bai discusses Million.js, a library that makes React rendering up to 70% faster by replacing the virtual DOM diffing process. He shares how it works, use cases, and his motivations for improving web performance.",anthropic
20,657,"Diving Deeper into Rust's Type System","In part 2 of Rust for JavaScript developers, Scott and Wes dive deeper into Rust's type system, talking about integer types, strings, string slices, arrays, tuples, and other collection types. They also cover defining structs, adding methods, and other fundamentals.",anthropic
21,656,8 Hands-On Fetch API Tricks to Level Up Your JavaScript Skills,"Wes shares 8 tricks for using the JavaScript Fetch API including streaming responses, tracking download progress, and handling errors.",anthropic
22,655,"Building a next-gen video editor in the browser with Web Codecs, Radix UI, and AI voice cloning","Andrew Lizowski discusses how video editor Descript is built with web technology like Web Codecs and XState. He covers the AI transcription and voice features, using Radix and Tailwind for components, and reliable end-to-end testing with Playwright.",anthropic
23,654,Freshly Baked JavaScript APIs,"Overview of 6 new approved and proposed JavaScript APIs in various stages - ranging from shipped to just proposed. Covers Promise resolvers, immutable arrays, array grouping, observable events, import assertions, Map.emplace(), decorators and pattern matching.",anthropic
24,653,Decorating Classes in JavaScript with Wes & Scott,"Scott and Wes discuss JavaScript decorators - what they are, how to use them, their current status, and potential future use cases.",anthropic
25,652,Deploying Full-Stack Apps to Your AWS Account,"Brandon Bayer, creator of Blitz JS, discusses Flight Control which lets you deploy apps on your AWS account with a great developer experience. Covers serverless deployment, preview environments, Docker, build caches, and more.",anthropic
26,651,Fancy TypeScript Duct Tape and No-Back-Pain Programming,"Scott and Wes answer listener questions about TypeScript, preventing back pain while programming, and options for limiting cloud service costs.",anthropic
27,650,"Why Facebook's HTML and CSS is a Mess",Discussion on why Facebook and Instagram HTML/CSS is messy - random CSS class names and excessive div wrappers.,anthropic
28,649,"Remix creator Ryan Florence joins to discuss the web framework's unique architecture and licensing journey","Ryan Florence discusses Remix, a React web framework he created with Michael Jackson. Topics include Remix's architecture, licensing model, adoption, and how it pioneered concepts like serverless functions.",anthropic
29,648,Server-Side JavaScript Just Got Standardized,"Overview of standard APIs for JavaScript that work across server side runtimes like Node, Deno and Cloudflare workers.",anthropic
30,647,Re-rusting Your JS Skills - Node vs Rust Concepts,"Compares JavaScript and Rust at a high level, including cargo, documentation, async/await, error handling, syntax differences, and more.",anthropic
31,646,"Nodemailer Creator Talks Email History, Authentication, Deliverability","Andres Reinman discusses the history and complexity of email protocols and clients, building Nodemailer, DMARC authentication, avoiding spam filters, and his email products Email Engine and Ethereal Email.",anthropic
32,645,"The Ultimate Guide to Polyfilling, Transpiling, and Monkey Patching","Wes and Scott discuss polyfilling, transpiling, and monkey patching - what they are, when to use each, and tools that can help.",anthropic
33,644,Toast Up Your User Feedback,"Scott and Wes discuss best practices for user feedback UI like toasts, flash messages and form validation.",anthropic
34,643,"WebAssembly, Fastly Edge Computing, and Polyfill.io with Jake Champion","Discussion with Jake Champion about WebAssembly, Fastly ComputeEdge, and Polyfill.io.",anthropic
35,642,Potluck × CSS Variables in React × JS Notebooks × Selling a Domain,"Wes and Scott answer listener questions on topics like React and CSS, JavaScript notebooks, selling domains, balancing learning as a new parent, and more.",anthropic
36,641,How to Ask for Help like a Pro,"Wes and Scott discuss best practices for asking for help with libraries and open source projects like providing reproductions, being responsive and respectful, searching existing issues first, and sharing code context.",anthropic
37,640,Code Snippets As a Service,"Steve Krause introduces val.town, a social platform for writing and running code snippets. He discusses the inspiration behind val.town, using Deno and Render for the backend, common use cases like IoT and webhooks, recommendations for learning coding, and building an engaged community.",anthropic
38,639,"Stump'd × JavaScript × GraphQL × Memory Safety × Web History",Scott and Wes use AI to generate challenging interview questions and quiz each other on web development topics ranging from JavaScript to CSS history.,anthropic
39,638,AI Coding Tools Every Developer Should Try,"Discussion on using AI tools like CodeAI, CodeWhisperer, Copilot, lintrule, opencommit, Ghostwriter, Codegeeks, Codeum AI, TabNine, and ChatGPT for tasks like documentation, optimization, code generation, data formatting, commit messages and more. Notes the importance of validating any AI-generated code before use in production.",anthropic
40,637,"Cloudinary's AI Media Tools and Framework SDKs","Scott and Wes chat with Colby Fayock about Cloudinary's developer experience, AI media capabilities like image filling and background removal, building SDKs and components for frameworks like Next.js and Svelte, Colby's own YouTube channel and creative process, and advice for beginners.",anthropic
41,636,Headless UIs for the Headstrong Developer,"Scott and Wes discuss headless components - reusable components that provide functionality without any UI. They talk about various headless component libraries, building accessible components, using headless WordPress, running headless Chrome, and more.",anthropic
42,635,Lightning Fast Styles with Lightning CSS,"Wes and Scott discuss Lightning CSS - a fast CSS parser, transformer, bundler and minifier from the creator of Parcel. They cover the benefits of Lightning CSS including improved performance, support for future CSS syntax like nesting and color spaces, and more.",anthropic
43,634,"Inside Sentry's Massive Event Queues with Armin Ronacher","Armin Ronacher discusses designing performant queues and backpressure systems to handle massive scale at Sentry. He also shares his views on Python, JavaScript, Rust and staying up to date.",anthropic
44,633,WTF is an ORM?,"Wes and Scott discuss what ORMs are, popular options like Prisma and Drizzle, schema vs models, and migrations. They also joke about dentists, pronunciation in tech, and share recommendations.",anthropic
45,632,Best Domain Registrars in 2023,"Wes and Scott discuss top domain name registrars in light of Google Domains closing down. They compare pricing, features, UX and more across Namecheap, GoDaddy, Gandhi, Hover, Name.com, Cloudflare and others.",anthropic
46,631,"Gatsby, Valhalla and GraphQL with Dustin Schau","Dustin Schau discusses leading the Gatsby and Valhalla teams, using GraphQL as a data layer, low-code solutions for CMS editing, thoughts on React server components, and plans for improving Gatsby performance and integration. He also shares his editor setup, what tech stack he would use today, and his Ubuntu home theater setup.",anthropic
47,630,Conquering Rate Limits and Computer Glitches to Get to the Conference,"Wes and Scott discuss upcoming conferences, computer issues, and strategies for working with rate limited APIs.",anthropic
48,629,Async Contexts - The Future of State Management?,Discussion on AsyncLocalStorage and Async Context API in JavaScript which allow accessing context down the call stack without passing references explicitly.,anthropic
49,628,Running Full JavaScript on $5 Microcontrollers?!,"Nick Hehr discusses running JavaScript on microcontrollers with ESP32 and Raspberry Pi Pico using the Excess engine, challenges around tooling and standards, and how he builds projects with it.",anthropic
50,627,Become an Electronics Wizard - Syntax Podcast,"Wes gives an overview of basic electronics concepts like voltage, amperage, microcontrollers, coding, and projects he has built.",anthropic
51,626,Level Up Your GitHub Project Management,"Wes and Scott discuss using GitHub Projects, Milestones, Labels, and Actions to organize and automate your workflow.",anthropic
52,625,Behind the Scenes of ChatGPT and Aiming for AGI,"Andrey Mashenko from OpenAI discusses developing plugins for ChatGPT, training language models, the future of programming and work, and aiming for artificial general intelligence.",anthropic
53,624,Svelte ditches TypeScript for JSDoc and the web explodes,"In this episode Scott and Wes discuss Svelte's recent move from TypeScript to using JSDoc for typing, explaining what JSDoc is and its benefits over regular TypeScript.",anthropic
54,623,"Nothing in CSS - 0 vs 0px, none, no, hidden, initial and unset","Discussion on values like none, 0, and hidden that essentially remove or undo something in CSS and HTML.",anthropic
55,622,GitHub Next - Forging Developer Superpowers with AI,"GitHub's R&D team discusses pioneering AI developer tools like Copilot and shares insights on creating reliable, intuitive experiences. They examine challenges like latency, trust, feedback and rethinking workflows in light of AI capabilities.",anthropic
