id,content,showNote
4,"Want to chat about #BunJS, #GraphQL, #Rust, code documentation, APIs, and more? Check out the latest potluck episode of Syntax!",2
5,Curious about becoming a guest on @SyntaxFM?Scott and Wes share how to get on the show in the newest potluck episode.,2
6,"APIs got you confused? @scotttolinski and @wesbos explain the key differences between #REST, #GraphQL, and #tRPC on @SyntaxFM's latest.",2
7,"If you're a web dev wondering whether to learn #Rust, this @SyntaxFM Q&A has some great perspectives. Worth a listen!",2
8,"Need help documenting intricate business logic and code? Don't miss the tips in @SyntaxFM's newest potluck episode.",2
9,Troubleshooting WordPress APIs with Axios vs Fetch? @SyntaxFM tackles a listener question with some debugging suggestions.,2
10,Home gym gear taking up space? @scotttolinski shares how he keeps his equipment streak going for over 100 weeks!,2
11,Want the scoop on the new #BunJS runtime? @wesbos and @scotttolinski give their takes in the latest @SyntaxFM Q&A.,2
12,"Learn how proper #heading hierarchy improves #a11y and #SEO on your #website in this week's episode!",3
13,Use #headings to create an #outline for your #website content. Skip levels at your own peril!,3
14,"For maximum #accessibility, headings should match the logical document structure, not just visual design.",3
15,Screen readers rely on good #heading hierarchy to help users navigate pages. We explain how it works in depth.,3
16,Did you know your logo should *not* be an #h1? We discuss common #heading mistakes and how to avoid them.,3
17,"Proper heading structure acts as landmarks to help screen readers, keyboards, and search bots understand your #website content.",3
18,Get the inside scoop on standing out in developer hiring in 2023 👇,4
19,The developer hiring recession and shift to backend engineers explained 🧵,4
20,"Key strategies for writing an authentic 'tell me about yourself' for interviews ✍️",4
21,Why LinkedIn and social proofing through content creation matter more than ever 📲,4
22,The tech skills that are in highest demand right now 🔥,4
23,"Why using AI generated content will hurt, not help your developer job search 🤖",4
24,How to keep up with the latest trends and best practices as a developer 📡,4
25,"The @StateofCSS survey results are in! Tune in to hear @wesbos and @stolinski break down the top new CSS features devs are (and aren't) using in 2023!",5
26,"Curious what CSS features like subgrid, aspect ratio, and variable fonts devs are actually using in production? Get the inside scoop in the latest @SyntaxFM!",5
27,"Want the TLDR on the @StateofCSS survey results? @wesbos & @stolinski deliver the most interesting stats and their hot takes on this year's report!",5
28,"Which new CSS features like relative colors and anchor positioning should you be using in 2023? Get the lowdown from @SyntaxFM's breakdown of the @StateofCSS survey!",5
29,"Hear @wesbos and @stolinski's reactions to surprise survey findings like 51% of devs claiming to use CSS :has() already. Get their take in the new @SyntaxFM!",5
30,"Get Wes and Scott's insider commentary on the @StateofCSS results and which features they can't wait to use more of, like variable fonts, subgrid, and relative colors!",5
31,"It's Tori vs Electron for desktop app dev with web tech! Who will win? #webdev",6
32,Want to build a desktop app with JS/HTML/CSS? @scottydocs and @wesbos compare Tori vs Electron pros and cons on the latest Syntax podcast!,6
33,Tori uses native OS webviews while Electron bundles Chromium - how does this affect app size and developer experience? #syntaxfm,6
34,Debugging permissions and browser feature differences between Tori and Electron desktop apps - the web dev desktop app smackdown!,6
35,".@wesbos makes a great point - faster tech doesn't always win over easier tech. Where do Tori and Electron fit in the spectrum? #syntaxfm",6
36,Which has better dev experience and setup - Tori or Electron? How does maturity play into the desktop app decision? #syntaxfm,6
37,Turns out building a desktop app with web tech is way easier than diving into native Cocoa and Xcode! Tori FTW #syntaxfm,6
38,Tune in to hear Dr. Courtney Tolinski define anxiety disorders and share tips for managing anxiety in your daily life.,7
39,"Learn about the symptoms, causes and effects of untreated anxiety from clinical psychologist Dr. Courtney Tolinski.",7
40,Get advice for recognizing anxiety triggers and making big life decisions from anxiety expert Dr. Courtney Tolinski.,7
41,Clinical psychologist Dr. Courtney Tolinski discusses strategies for dealing with career anxiety in the ever-changing web dev landscape.,7
42,"Don't miss anxiety expert Dr. Courtney Tolinski explain how to move from stress to clinical anxiety and share science-based ways to find relief.",7
43,"Anxiety specialist Dr. Courtney Tolinski shares healthy strategies to manage anxiety, including therapy, mindfulness, exercise and more.",7
44,Learn why @wesbos loves working with #SvelteKit for building web apps 👉,8
45,Hear @stolinski and @wesbos revisit building with #Svelte and #SvelteKit 👂,8
46,"The Syntax hosts break down #Svelte templating, data loading, state management, actions, layouts, and more! 🎙",8
47,@wesbos shares his experience transitioning from #React to #Svelte and #SvelteKit ⚛,8
48,Rid yourself of React pains by embracing #Svelte and #SvelteKit says @wesbos 🙌,8
49,Learn how Svelte makes state management and data binding a breeze vs React 🎯,8
50,"Want to build something on top of #Tonal's limited API? @scottdotjs intercepted requests to understand and expand its capabilities!",9
51,Reverse engineering hardware with #JavaScript? @scottdotjs proxied his @tonal workout device to build custom community workout features!,9
52,"Curious what data your apps send? Learn how @wesbos and @scottdotjs intercepted requests to understand #Tonal, GitHub Copilot, and more!",9
53,".@wesbos and @scottdotjs peer into #Tonal, Instagram, Twitter, and other services by proxying network requests - listen in to learn how!",9
54,Ever wonder how @HomeAssistant integrations for #Wyze and #Hyundai work? They proxy and reverse engineer requests! Learn from @SyntaxFM,9
55,"@wesbos and @scottdotjs explore the shady world of proxying requests for hacking, debugging, and understanding app APIs on @SyntaxFM!",9
56,"Hear how Stuart went from working in his family's betting shop to becoming a web developer in just a few years!",10
57,"Stuart shares his advice for preparing for dev interviews, including focusing on soft skills & getting feedback.",10
58,Stuart talks about how he stayed motivated learning to code while working full-time and having a young family. Great tips!,10
59,"Want to make the jump to web dev? Stuart explains how he researched coding, built projects, and made time to learn.",10
60,Long-time Syntax listener Stuart shares his story of changing careers and landing a remote web dev role. So inspiring!,10
61,"Stuart gives advice for avoiding burnout when hustling to learn coding: take breaks, switch up tasks, and watch out for the signs.",10
62,"Scott built a real-time markdown editor during @getsentry's hack week! #hackweek",11
63,Wes automated his office lighting and devices with a DIY stream deck! #hackweek #automation,11
64,What would you build if you had a week to work on anything? Scott and Wes discuss their #hackweek projects on @syntaxfm,11
65,"Too many hobbies, too little time! Scott and Wes lament all their interests on the latest @syntaxfm #podcast",11
66,"Control your Mac's brightness beyond 100% with Wes's sick pick Better Display #syntaxfm #sickpick",11
67,"Organize your shop with Scott's sick pick - strong magnets! #syntaxfm #sickpick",11
68,CSS nesting is now supported across all major browsers! Learn how to use it without creating spaghetti code.,12
69,"Avoid CSS selector soup - we've got pro tips for using nesting without overnesting!",12
70,Ampersand to the rescue! Use the parent selector in CSS nesting for powerful abilities.,12
71,Media queries got you tangled up? Nest them directly inside your components with CSS nesting!,12
72,JS devs: CSS nesting works a lot like component scoping in Svelte and React! Keep styling contained.,12
73,CSS nesting is here! Unwrap pro tips on modern styling from the Syntax FM pod.,12
74,"We've got the DL on leveraging CSS nesting for shorter selectors and tidier styling.",12
75,"Just announced: Astro 3.0 is out with view transitions, image optimization, and more optimizations! Excited to try the new release. #Astro3 #WebDev",13
76,Loving how @Astrodotbuild keeps improving while still focusing on beginner-friendliness. Astro 3.0 sounds like another solid upgrade. #Astro3,13
77,Cool to hear @FredKSchott talk Astro 3.0 on @SyntaxFM. View transitions and image optimization are big wins. #Astro3,13
78,"The Astro community continues to impress. Great to see a framework grow in a thoughtful, inclusive way. #Astro3",13
79,.@Astrodotbuild Launch Week is here! Tune into the latest @SyntaxFM to hear about Astro 3.0 and more from Fred. #Astro3 #WebDev,13
80,"Big fan of Astro's lightweight philosophy. More frameworks should aim for approachable docs and easy upgrades like Astro 3.0. #WebDev",13
81,"Excited about Astro 3.0! Can't wait to try the new view transitions and image optimization. Kudos to the Astro team. #Astro3",13
82,Learn when and why to use .d.ts files in TypeScript,14
83,Find out how Scott discovered his dog is part chihuahua from a DNA test!,14
84,"Get Scott and Wes's tips on developer soft skills",14
85,Resources for debugging web performance issues,14
86,Understand async vs defer for script loading in 2023,14
87,Hear how Scott and Wes organize their code directories,14
88,Learn how JavaScript type coercion works with .includes(),14
89,Learn all about JavaScript closures and scoping in this great @SyntaxFM episode - closures demystified for beginners!,15
90,"Struggling with closures in JS? @SyntaxFM has you covered with real world examples of closures, scope, and closure usage.",15
91,"Want a deep dive into lexical scoping, closures, and closure usage? Get the full scoop in this @SyntaxFM podcast episode.",15
92,"Don't let closures confuse you! @SyntaxFM breaks it all down in simple terms with handy real-world examples. Check it out!",15
93,"Closures explained clearly and concisely by @SyntaxFM - don't miss this episode if JS closures mystify you!",15
94,"Get closure on closures with @SyntaxFM's straightforward explanations, metaphors, and real-world closure examples.",15
95,"Hear @acemarke explain the Herculean effort to make Redux libs work in AMD, CJS, ESM, Deno, Webpack, Vite, etc. respect gained for package authors!",16
96,"Ever wonder why even latest packages still use CommonJS? @acemarke walks through the complexities of supporting ESM, CJS & more simultaneously.",16
97,Laugh and cry along with @acemarke as he describes shipping 5-10 build artifacts per Redux package entry point. We take working code for granted!,16
98,Package authors make sacrifices so your code works seamlessly. @acemarke even made React prod builds generate sourcemaps to help users debug errors!,16
99,What is the benefit of ESM vs CJS? @acemarke breaks it down and explains how tooling and module interop have hindered adoption.,16
100,Devs rely on package authors without realizing their struggles. Follow @acemarke for enlightening talks on maintaining Redux and other libs.,16
101,Learn how to take your #opengraph and #OGimages to the next level on the latest @SyntaxFM podcast!,17
102,"Want to dynamically generate custom OG images? @wesbos and @stolinski share different techniques using Satori, Cloudinary, Puppeteer and more on @SyntaxFM!",17
103,Level up your #ogimage game! Check out the latest @SyntaxFM podcast for a deep dive into dynamically generating social media preview images.,17
104,"Don't miss the newest @SyntaxFM podcast unpacking pro techniques for creating dynamic and custom #opengraph images.",17
105,"Tired of basic OG images? @wesbos and @stolinski explore advanced techniques like Puppeteer, Satori, and Cloudinary on @SyntaxFM's latest episode!",17
