id,name,name_slug,twitter,github,url,of
00c03566-061b-4d1c-a056-7ce6f01ab080,Harry Dry,harry-dry,harrydry,,https://marketingexamples.com/,
0115f161-4547-4665-97a1-cd34dc4d94c2,Tanner Linsley,tanner-linsley,tannerlinsley,tannerlinsley,https://tannerlinsley.com/,
0ec997f0-2c90-4fae-9647-6d174db9b9ce,Andris Reinman,andris-reinman,andrisreinman,andris9,,
1225d40d-ba6d-4e98-9ad2-8abaaeae2a73,Tomek Sułkowski,tomek-sulkowski,sulco,sulco,,
132d74f9-4bec-478b-8ed9-9b1a33cedd66,Matt Rothenberg,matt-rothenberg,mattrothenberg,mattrothenberg,https://mattrothenberg.com/,
19a3f83b-de3d-4bd3-8329-6f9c8aacc31a,Steve Sewell,steve-sewell,Steve8708,steve8708,,
1caeb787-4955-4574-80a6-96e6c0961903,Jared Palmer,jared-palmer,jaredpalmer,jaredpalmer,https://jaredpalmer.com/,
219b22d1-460f-40ce-b33a-eb3138fc672c,Eduardo Bouças,eduardo-boucas,eduardoboucas,eduardoboucas,https://eduardoboucas.com,
2498daa6-828d-4177-8d1f-3f6f219169f3,Connor Finlayson,connor-finlayson,FinlaysonConnor,,https://www.connorfinlayson.com,
26e07c05-bb55-43cf-b641-3a0bf56eaf68,Hans Skillrud,hans-skillrud,DeepSpaceHans,,https://www.deepspacehans.com/,
270f7adf-ffb5-423f-b179-9d93eb59fbc9,Dustin Schau,dustin-schau,SchauDustin,DSchau,https://dustinschau.com/,
2b1e1464-c80a-4485-bf6b-fac507cc8f1d,Miriam Suzanne,miriam-suzanne,,mirisuzanne,https://www.miriamsuzanne.com/,
2d41a747-5825-4efd-a9e6-f65b4fdbf1f7,Filipe Ferreira,filipe-ferreira,fbritoferreira,fbritoferreira,https://fbritoferreira.com,
2d4a809a-afca-4a7e-a050-0eb62ff8f9a5,Ryan Carniato,ryan-carniato,RyanCarniato,,,
2e4a2d14-41fb-43d7-a32e-2caae253c6a2,Justin Fagnani,justin-fagnani,justinfagnani,justinfagnani,https://justinfagnani.com/,
30cea231-c01f-4648-ba50-74a423e0d96a,TJ DeVries,tj-devries,teej_dv,tjdevries,,
3129d04f-359c-424f-86ee-bc8847293a3e,Dylan Jhaveri,dylan-jhaveri,dylanjha,dylanjha,https://www.mux.com/,
3250bc02-a42d-45c2-b611-c46708c52b7a,Brad Touesnard,brad-touesnard,bradt,bradt,https://bradt.ca,
36f48799-cf06-436b-894a-0049ee57ac9b,Jerome Hardaway,jerome-hardaway,JeromeHardaway,jeromehardaway,,
371cf332-28fa-47c6-a3e3-52eefa857a18,Matt Holt,matt-holt,mholt6,mholt,https://matt.life/,
373e2985-fec9-4461-adef-14ccd4ca7a76,Geoffrey Huntley,geoffrey-huntley,GeoffreyHuntley,ghuntley,https://www.ghuntley.com,Gitpod
3b0251d2-e109-4795-b21a-ca615354b811,Benjamin Dunphy,benjamin-dunphy,benghamine,dunphyben,,
